epoch	train_loss	train_binacc	train_acc	train_tp	train_fp	train_tn	train_fn	train_sens	train_spec	train_balacc	val_loss	val_binacc	val_acc	val_tp	val_fp	val_tn	val_fn	val_sens	val_spec	val_balacc
1	0.16157716512680054	0.8607556223869324	0.3863147795200348	9335689.0	56644296.0	348755904.0	1284215.0	0.879074707266657	0.8602756091388214	0.8696751582027392	0.12635153532028198	0.8882355093955994	0.5229263305664062	793760.0	3413368.0	26891432.0	70188.0	0.9187589993842222	0.8873654338586626	0.9030622166214424
2	0.1234632134437561	0.8985546827316284	0.5238242149353027	9704512.0	41287708.0	364112256.0	915392.0	0.9138041172500241	0.8981556199644852	0.9059798686072547	0.11032804846763611	0.9157253503799438	0.6065331697463989	792248.0	2555033.0	27749760.0	71700.0	0.9170088940538088	0.915688815297303	0.9163488546755558
3	0.11144879460334778	0.909672200679779	0.5770039558410645	9802012.0	36760460.0	368639520.0	817892.0	0.9229849912014271	0.9093229851664029	0.9161539881839149	0.10477878153324127	0.9301838874816895	0.6341848373413086	786581.0	2098709.0	28206092.0	77367.0	0.9104494714959697	0.9307466496810192	0.9205980605884945
4	0.10414168238639832	0.9162067770957947	0.6078391671180725	9858658.0	34098276.0	371301760.0	761246.0	0.9283189377229776	0.9158898051997213	0.9221043714613495	0.09790538251399994	0.9304763078689575	0.6605957746505737	796995.0	2100014.0	28204782.0	66953.0	0.922503437706899	0.9307035757640474	0.9266035067354732
5	0.09962628781795502	0.9205917119979858	0.6273079514503479	9885802.0	32301164.0	373098816.0	734102.0	0.9308748930310481	0.9203227291723103	0.9255988111016792	0.09726832807064056	0.9380196928977966	0.6725868582725525	790644.0	1858547.0	28446252.0	73304.0	0.9151523008329205	0.9386715285588926	0.9269119146959066
6	0.09584778547286987	0.9239829182624817	0.64264315366745	9915504.0	30920286.0	374479584.0	704400.0	0.9336717168064796	0.9237289197946709	0.9287003183005753	0.09911976754665375	0.9435445666313171	0.6784933805465698	782934.0	1678634.0	28626168.0	81014.0	0.9062281526202965	0.9446083165301657	0.9254182345752311
7	0.09267041087150574	0.9266826510429382	0.653549313545227	9938326.0	29819984.0	375579968.0	681578.0	0.9358207004507763	0.9264430499981904	0.9311318752244833	0.09639781713485718	0.9472454190254211	0.6868481636047363	782665.0	1563013.0	28741782.0	81283.0	0.9059167912883646	0.9484235745531359	0.9271701829207502
8	0.09062818437814713	0.9283657670021057	0.6622487306594849	9955730.0	29137128.0	376262720.0	664174.0	0.937459509991804	0.9281274323516766	0.9327934711717403	0.09706518799066544	0.9513606429100037	0.6987785696983337	778229.0	1430307.0	28874492.0	85719.0	0.9007822230041623	0.9528026237692585	0.9267924233867104
9	0.08874788135290146	0.9300580620765686	0.6701706051826477	9968000.0	28445144.0	376954944.0	651904.0	0.9386148876675344	0.9298343911558302	0.9342246394116823	0.09587510675191879	0.9518025517463684	0.7003188133239746	779851.0	1418156.0	28886642.0	84097.0	0.9026596508123174	0.953203581822258	0.9279316163172877
10	0.08678404241800308	0.9316926598548889	0.6769021153450012	9984810.0	27781948.0	377618176.0	635094.0	0.940197764499566	0.9314703021649791	0.9358340333322726	0.09264884144067764	0.9493476748466492	0.7092157602310181	786614.0	1501435.0	28803358.0	77334.0	0.9104876682392922	0.9504555269524527	0.9304715975958724
11	0.0848982110619545	0.9332071542739868	0.683331310749054	9999122.0	27166258.0	378233760.0	620782.0	0.9415454226328223	0.9329890064287072	0.9372672145307648	0.09047707915306091	0.9504501223564148	0.7126954197883606	788059.0	1468522.0	28836272.0	75889.0	0.9121602226059902	0.9515415943761241	0.9318509084910571
12	0.08358607441186905	0.9341267943382263	0.6879128217697144	10010143.0	26794980.0	378604960.0	609761.0	0.942583190959165	0.9339048249489134	0.9382440079540392	0.09958906471729279	0.9549753069877625	0.7068966031074524	772477.0	1311888.0	28992908.0	91471.0	0.8941244148953409	0.9567102184089937	0.9254173166521673
