epoch	train_loss	train_binacc	train_acc	train_tp	train_fp	train_tn	train_fn	train_sens	train_spec	train_balacc	val_loss	val_binacc	val_acc	val_tp	val_fp	val_tn	val_fn	val_sens	val_spec	val_balacc
11	0.08416055887937546	0.933903694152832	0.6849972605705261	9991836.0	26882036.0	378530560.0	615483.0	0.9419756302228678	0.9336921539556704	0.937833892089269	0.08759298920631409	0.9511174559593201	0.7240426540374756	778839.0	1451891.0	28866300.0	71715.0	0.9156843657192841	0.9521115557323324	0.9338979607258082
12	0.08277810364961624	0.9348546266555786	0.6898645758628845	10004490.0	26498868.0	378913632.0	602829.0	0.9431685801096394	0.9346372694477847	0.9389029247787121	0.08597005158662796	0.9428989887237549	0.7147425413131714	789222.0	1718437.0	28599752.0	61332.0	0.9278917035249966	0.9433199324669426	0.9356058179959696
13	0.08187285810709	0.9356958866119385	0.6942411065101624	10009475.0	26153996.0	379258528.0	597844.0	0.943638538635446	0.9354879426467841	0.9395632406411151	0.08961131423711777	0.9545021057128906	0.7262932658195496	772909.0	1340466.0	28977724.0	77645.0	0.9087124391866948	0.9557867405672964	0.9322495898769956
14	0.08006282150745392	0.9369888305664062	0.698562502861023	10025425.0	25632260.0	379780288.0	581894.0	0.9451422173689695	0.9367748725922513	0.9409585449806104	0.0867919772863388	0.947935163974762	0.7234770655632019	783741.0	1555984.0	28762204.0	66813.0	0.9214476682256506	0.9486781993699623	0.9350629337978065
15	0.07910748571157455	0.9377361536026001	0.7011468410491943	10033261.0	25329012.0	380083712.0	574058.0	0.9458809525762353	0.9375228982699616	0.9417019254230985	0.09055646508932114	0.9591743350028992	0.7390221953392029	768200.0	1190129.0	29128056.0	82354.0	0.9031760476113215	0.9607453744345185	0.93196071102292
16	0.0785568431019783	0.9379478096961975	0.7039525508880615	10039344.0	25246924.0	380165568.0	567975.0	0.9464544245346067	0.9377253427109493	0.942089883622778	0.08659053593873978	0.9546183347702026	0.7343153953552246	777128.0	1341062.0	28977124.0	73426.0	0.9136727356522925	0.9557670765658605	0.9347199061090765
17	0.077508844435215	0.9388235807418823	0.7066565155982971	10046847.0	24890180.0	380522400.0	560472.0	0.9471617663237997	0.9386053091889749	0.9428835377563873	0.09118887037038803	0.9592481851577759	0.7322643995285034	767128.0	1186749.0	29131436.0	83426.0	0.9019156925956494	0.9608568586806895	0.9313862756381694
18	0.07682783901691437	0.9394932389259338	0.7091014981269836	10050325.0	24615026.0	380797472.0	556994.0	0.9474896531347836	0.9392839980971677	0.9433868256159756	0.08827205002307892	0.9567283391952515	0.7336186766624451	773702.0	1271879.0	29046312.0	76852.0	0.9096447727010866	0.9580489812205484	0.9338468769608175
19	0.07650052011013031	0.9396849274635315	0.7091119289398193	10055004.0	24540164.0	380872352.0	552315.0	0.9479307636547935	0.9394686571541369	0.9436997104044651	0.0927857980132103	0.9602389335632324	0.7347205281257629	764747.0	1153489.0	29164698.0	85807.0	0.8991163406438627	0.9619538925596046	0.9305351166017337
20	0.07489406317472458	0.9407205581665039	0.7129861116409302	10070963.0	24125056.0	381287552.0	536356.0	0.9494352908590757	0.9404925857658576	0.9449639383124666	0.09513518959283829	0.961919903755188	0.739392101764679	761431.0	1097789.0	29220402.0	89123.0	0.8952177051662799	0.9637910784320872	0.9295043917991835
