epoch	train_loss	train_binacc	train_acc	train_tp	train_fp	train_tn	train_fn	train_sens	train_spec	train_balacc	val_loss	val_binacc	val_acc	val_tp	val_fp	val_tn	val_fn	val_sens	val_spec	val_balacc
1	0.15841248631477356	0.8656778931617737	0.3942030370235443	9207982.0	54621880.0	350931232.0	1258664.0	0.8797452402613024	0.8653151008245746	0.8725301705429385	0.1241755336523056	0.9069955348968506	0.533561110496521	767412.0	2814006.0	27502504.0	84827.0	0.9004657144298723	0.9071790915247171	0.9038224029772948
2	0.12032142281532288	0.902311384677887	0.5339522361755371	9570886.0	39744548.0	365808576.0	895760.0	0.9144176654106769	0.9019991570820695	0.9082084112463732	0.10946968197822571	0.9219703674316406	0.6127958297729492	775871.0	2355716.0	27960778.0	76368.0	0.9103913338863864	0.9222958960887759	0.9163436149875812
3	0.10838012397289276	0.9127873182296753	0.586003839969635	9668536.0	35484368.0	370069088.0	798110.0	0.9237473016666466	0.9125038451157965	0.9181255733912216	0.10465780645608902	0.9394707083702087	0.6477200984954834	766101.0	1800486.0	28516016.0	86138.0	0.898927413554179	0.9406103646126456	0.9197688890834124
4	0.10166338086128235	0.919211208820343	0.6157771348953247	9716210.0	32859364.0	372694016.0	750436.0	0.9283021514246302	0.9189764760436715	0.9236393137341509	0.09854169189929962	0.9366593360900879	0.667155921459198	777903.0	1899912.0	28416590.0	74336.0	0.9127756415747226	0.9373307646112998	0.9250532030930112
5	0.09703342616558075	0.9231842160224915	0.6347364187240601	9750750.0	31240744.0	374312480.0	715896.0	0.9316021579405667	0.9229675856306347	0.9272848717856007	0.10011305660009384	0.9479252696037292	0.6796715259552002	764873.0	1535735.0	28780770.0	87366.0	0.89748650319922	0.9493432702747233	0.9234148867369716
6	0.09349140524864197	0.9264053106307983	0.6485720276832581	9780030.0	29930460.0	375622944.0	686616.0	0.9343996156935087	0.9261984742211657	0.9302990449573372	0.09334485977888107	0.9452655911445618	0.6925100088119507	777852.0	1631620.0	28684884.0	74387.0	0.9127157992065607	0.9461804698853139	0.9294481345459373
7	0.0907147228717804	0.9283634424209595	0.6579917073249817	9802738.0	29138480.0	376414752.0	663908.0	0.9365691741174775	0.9281512815067394	0.9323602278121085	0.09576603770256042	0.9513220191001892	0.697445809841156	767897.0	1432890.0	28883612.0	84342.0	0.9010348036172952	0.9527356421265224	0.9268852228719088
8	0.08842349797487259	0.9305006861686707	0.6675849556922913	9818730.0	28264976.0	377288288.0	647916.0	0.9380970752235244	0.9303051448255635	0.934201110024544	0.08799481391906738	0.9360135197639465	0.7040627002716064	794082.0	1936221.0	28380284.0	58157.0	0.9317597528392857	0.936133106372255	0.9339464296057703
9	0.0867384821176529	0.9317359924316406	0.6751483082771301	9833069.0	27765452.0	377788000.0	633577.0	0.9394670460814286	0.9315368865359824	0.9355019663087055	0.09525211155414581	0.9530878067016602	0.7108225226402283	767346.0	1377299.0	28939206.0	84893.0	0.9003882713651922	0.9545693344269071	0.9274788028960497
10	0.08486782014369965	0.9336504936218262	0.6816531419754028	9841687.0	26977656.0	378575616.0	624959.0	0.940290423503384	0.9334793777721019	0.9368849006377429	0.094883993268013	0.9536545872688293	0.7079240679740906	768375.0	1360671.0	28955836.0	83864.0	0.9015956791463428	0.9551178174979064	0.9283567483221246
