epoch	train_loss	train_binacc	train_acc	train_tp	train_fp	train_tn	train_fn	train_sens	train_spec	train_balacc	val_loss	val_binacc	val_acc	val_tp	val_fp	val_tn	val_fn	val_sens	val_spec	val_balacc
1	0.16351687908172607	0.8598492741584778	0.3868234157562256	9351804.0	57006252.0	348362688.0	1299174.0	0.8780230322511229	0.8593719291862865	0.8686974807187047	0.1341363787651062	0.9099786281585693	0.5071443319320679	748956.0	2700304.0	27613936.0	105548.0	0.8764803909636467	0.9109229193936579	0.8937016551786523
2	0.12627890706062317	0.8968501091003418	0.5211095213890076	9705732.0	41967168.0	363401664.0	945246.0	0.9112526567982772	0.8964716458516475	0.9038621513249623	0.11229034513235092	0.9179445505142212	0.5953327417373657	777712.0	2480773.0	27833470.0	76792.0	0.9101326617546553	0.9181647715893813	0.9141487166720184
3	0.1136251837015152	0.9085556864738464	0.5741878747940063	9803781.0	37195572.0	368173472.0	847197.0	0.9204582903091153	0.9082426925525177	0.9143504914308165	0.10596519708633423	0.9319160580635071	0.6392341256141663	773407.0	2040999.0	28273240.0	81097.0	0.9050946514001105	0.932671936775322	0.9188832940877163
4	0.10589064657688141	0.9152818918228149	0.6072933077812195	9868017.0	34461604.0	370907328.0	782961.0	0.9264892857726305	0.9149870617119715	0.920738173742301	0.09991979598999023	0.9374696612358093	0.665553092956543	777858.0	1872352.0	28441882.0	76646.0	0.9103035211069813	0.9382352197980658	0.9242693704525236
5	0.10077731311321259	0.9198611378669739	0.628045916557312	9904607.0	32592928.0	372776032.0	746371.0	0.9299246510508237	0.9195968828003013	0.9247607669255624	0.09972191601991653	0.9434493184089661	0.6779473423957825	772172.0	1680291.0	28633946.0	82332.0	0.9036493685225581	0.944570895846727	0.9241101321846426
6	0.097334124147892	0.922918975353241	0.6413881778717041	9931775.0	31347820.0	374021280.0	719203.0	0.9324754027282752	0.9226684520354412	0.9275719273818582	0.09599637985229492	0.941629946231842	0.6892064809799194	779362.0	1744180.0	28570058.0	75142.0	0.9120636064898467	0.9424633401637871	0.9272634733268169
7	0.09481753408908844	0.9250489473342896	0.6523709893226624	9950775.0	30481210.0	374887520.0	700203.0	0.9342592764720761	0.9248062128521852	0.9295327446621306	0.09365902096033096	0.94620281457901	0.7001132965087891	777993.0	1600280.0	28713962.0	76511.0	0.9104615074944061	0.9472102914531064	0.9288358994737562
8	0.09265054762363434	0.9268109202384949	0.6599487066268921	9968979.0	29766226.0	375602720.0	681999.0	0.9359684152948208	0.9265700387419415	0.9312692270183811	0.09901505708694458	0.9536525011062622	0.6990721225738525	764505.0	1354592.0	28959648.0	89999.0	0.8946769119863687	0.9553149938774649	0.9249959529319167
9	0.09030511975288391	0.9289201498031616	0.6676268577575684	9986339.0	28906024.0	376462976.0	664639.0	0.9375983125681041	0.9286920706812805	0.9331451916246922	0.09326417744159698	0.9492107629776001	0.7084446549415588	775994.0	1504531.0	28809708.0	78510.0	0.9081221386909833	0.9503688349227569	0.9292454868068701
10	0.08795415610074997	0.9308039546012878	0.6765057444572449	10005395.0	28141208.0	377227712.0	645583.0	0.9393874440450445	0.9305787725413187	0.9349831082931817	0.09739187359809875	0.9555323123931885	0.7065756320953369	765065.0	1296560.0	29017680.0	89439.0	0.8953322629267974	0.9572293417219102	0.9262808023243538
11	0.08638405799865723	0.9321605563163757	0.6809657216072083	10015408.0	27587056.0	377781824.0	635570.0	0.9403275455080276	0.9319457971218709	0.9361366713149493	0.09302778542041779	0.95250403881073	0.7175490260124207	774490.0	1400372.0	28913860.0	80014.0	0.9063620533081179	0.9538048003327282	0.930083426820423
12	0.0848444476723671	0.9330875873565674	0.6866621971130371	10032294.0	27218144.0	378150688.0	618684.0	0.9419129398258076	0.9328558540978306	0.9373843969618191	0.09084782004356384	0.9505789875984192	0.7215845584869385	778960.0	1464840.0	28849398.0	75544.0	0.9115931581361819	0.9516781520287596	0.9316356550824707
13	0.08363085985183716	0.934173047542572	0.6904131174087524	10039466.0	26773884.0	378595072.0	611512.0	0.9425863052200465	0.9339518145045128	0.9382690598622796	0.09698840230703354	0.9592216610908508	0.7236669063568115	763458.0	1179964.0	29134278.0	91046.0	0.8934516397816745	0.961075589486948	0.9272636146343113
14	0.08267544955015182	0.9349883794784546	0.6941279172897339	10048771.0	26443800.0	378925088.0	602207.0	0.9434599339140499	0.9347660839723841	0.939113008943217	0.09313040971755981	0.9539805054664612	0.7192771434783936	773175.0	1353039.0	28961196.0	81329.0	0.9048231488676471	0.9553662165645942	0.9300946827161207
15	0.08148158341646194	0.9357529878616333	0.6976373195648193	10057392.0	26134564.0	379234560.0	593586.0	0.9442693431532766	0.9355289723545891	0.9398991577539328	0.09530376642942429	0.9592282176017761	0.7285146117210388	765691.0	1181988.0	29132256.0	88813.0	0.8960648516566335	0.961008824762379	0.9285368382095063
16	0.08026006072759628	0.9368319511413574	0.701112687587738	10068066.0	25696374.0	379672832.0	582912.0	0.9452715046449256	0.9366099505841595	0.9409407276145425	0.09828708320856094	0.9605283141136169	0.7302720546722412	760670.0	1136449.0	29177786.0	93834.0	0.8901889283139692	0.9625110447286563	0.9263499865213127
