epoch	train_loss	train_binacc	train_acc	train_tp	train_fp	train_tn	train_fn	train_sens	train_spec	train_balacc	val_loss	val_binacc	val_acc	val_tp	val_fp	val_tn	val_fn	val_sens	val_spec	val_balacc
1	0.1589260995388031	0.8632659912109375	0.39011654257774353	9050235.0	55613728.0	350085248.0	1270560.0	0.8768932044479132	0.8629187370687373	0.8699059707583252	0.13356174528598785	0.8743889331817627	0.5047429800033569	782428.0	3846585.0	26471180.0	68553.0	0.9194423847300939	0.8731243876321358	0.8962833861811148
2	0.12077387422323227	0.9015089869499207	0.5273075103759766	9413654.0	40067240.0	365632000.0	907141.0	0.912105511251798	0.9012390558089288	0.9066722835303633	0.11099084466695786	0.9149560332298279	0.6009456515312195	778778.0	2578513.0	27739248.0	72203.0	0.9151532172868725	0.9149504147090546	0.9150518159979635
3	0.10874967277050018	0.9123443365097046	0.5797454714775085	9520066.0	35665636.0	370033280.0	800729.0	0.9224159572978632	0.9120884118901614	0.9172521845940123	0.10672122240066528	0.9364113211631775	0.6406139135360718	765249.0	1896251.0	28421514.0	85732.0	0.8992550950021211	0.9374541296167445	0.9183546123094328
4	0.10200128704309464	0.9185627102851868	0.6084434390068054	9566593.0	33125470.0	372573472.0	754202.0	0.9269240402507752	0.9183496268521203	0.9226368335514478	0.10759943723678589	0.9468721747398376	0.6623199582099915	754138.0	1559078.0	28758684.0	96843.0	0.8861983992592078	0.9485754258510243	0.9173869125551161
5	0.09746449440717697	0.9224696755409241	0.6270498633384705	9603759.0	31537052.0	374161952.0	717036.0	0.9305251194312066	0.9222649015919201	0.9263950105115634	0.10570395737886429	0.9492661952972412	0.670522153377533	755360.0	1485688.0	28832080.0	95621.0	0.887634389016911	0.9509961287387647	0.9193152588778379
6	0.09376927465200424	0.9257355332374573	0.6420122385025024	9629835.0	30204512.0	375494656.0	690960.0	0.9330516689848021	0.9255494849819361	0.9293005769833691	0.09975235164165497	0.9464616775512695	0.6809417009353638	766625.0	1584366.0	28733404.0	84356.0	0.9008720523724971	0.9477413411342589	0.924306696753378
7	0.09103633463382721	0.9279018640518188	0.6517309546470642	9652429.0	29326044.0	376372896.0	668366.0	0.9352408414274288	0.9277147630703694	0.9314778022488991	0.09848076105117798	0.9484986066818237	0.6906468868255615	766482.0	1520735.0	28797026.0	84499.0	0.9007040110178723	0.9498401283656798	0.925272069691776
8	0.08856281638145447	0.9301871657371521	0.6619775891304016	9669254.0	28391940.0	377306816.0	651541.0	0.9368710453022272	0.9300171874325392	0.9334441163673832	0.09892875701189041	0.9531870484352112	0.6981855630874634	762376.0	1370493.0	28947272.0	88605.0	0.8958789914228402	0.9547957113593301	0.9253373513910852
9	0.0865316390991211	0.9316146373748779	0.6694430112838745	9686118.0	27814956.0	377884320.0	634677.0	0.9385050279556952	0.9314394734093634	0.9349722506825293	0.09767510741949081	0.9520707130432129	0.7015596032142639	764312.0	1407230.0	28910536.0	86669.0	0.8981540128392996	0.9535839810888441	0.9258689969640719
10	0.08490817248821259	0.9332882761955261	0.6756488680839539	9696002.0	27128720.0	378570464.0	624793.0	0.9394627061190538	0.9331309475840602	0.936296826851557	0.09767598658800125	0.9552833437919617	0.7113234996795654	762397.0	1305175.0	29012584.0	88584.0	0.8959036688245684	0.9569501492508071	0.9264269090376878
11	0.08329921215772629	0.9344521760940552	0.6812633872032166	9709561.0	26657872.0	379041216.0	611234.0	0.9407764615032078	0.9342915160805094	0.9375339887918586	0.09831114113330841	0.9567094445228577	0.7149186730384827	760240.0	1258575.0	29059188.0	90741.0	0.8933689471327797	0.958487207647873	0.9259280773903263
12	0.08196104317903519	0.9356582760810852	0.6860463619232178	9720290.0	26166864.0	379532288.0	600505.0	0.9418160132044091	0.9355018025770978	0.9386589078907535	0.09149951487779617	0.9462045431137085	0.7188935279846191	779668.0	1605421.0	28712340.0	71313.0	0.9161990690743976	0.9470468482154735	0.9316229586449356
13	0.080513134598732	0.9366791844367981	0.6918696761131287	9734560.0	25756364.0	379942880.0	586235.0	0.943198658630464	0.9365136504912984	0.9398561545608812	0.09471549838781357	0.95595383644104	0.7168131470680237	765863.0	1287747.0	29030012.0	85118.0	0.8999766152240767	0.9575249938493146	0.9287508045366957
14	0.07916461676359177	0.9378644824028015	0.6960207223892212	9742180.0	25270840.0	380428224.0	578615.0	0.9439369738474604	0.937710381308644	0.9408236775780523	0.09484641253948212	0.95638108253479	0.7211246490478516	764310.0	1272879.0	29044882.0	86671.0	0.8981516626105636	0.9580154022587618	0.9280835324346627
15	0.07787957042455673	0.9387772679328918	0.6999135613441467	9756684.0	24905606.0	380793568.0	564111.0	0.9453422919455333	0.9386106563776243	0.9419764741615788	0.09437065571546555	0.9561989903450012	0.725220799446106	766909.0	1281152.0	29036608.0	84072.0	0.9012057848530108	0.9577425245136844	0.9294741546833476
16	0.07701070606708527	0.939727246761322	0.7033018469810486	9758716.0	24512374.0	381186560.0	562079.0	0.945539176003399	0.9395798905402103	0.9425595332718046	0.0893496423959732	0.9499340653419495	0.7202791571617126	778362.0	1487877.0	28829884.0	72619.0	0.914664369709782	0.9509239155226535	0.9327941426162178
17	0.07613781094551086	0.9400956034660339	0.7050771713256836	9768904.0	24369428.0	381330016.0	551891.0	0.9465263092620287	0.9399323110731205	0.9432293101675746	0.0939638540148735	0.9574134349822998	0.7278080582618713	766750.0	1243136.0	29074628.0	84231.0	0.9010189416684979	0.9589964484188214	0.9300076950436597
18	0.07552742213010788	0.9406495690345764	0.7082037329673767	9771594.0	24142090.0	381556896.0	549201.0	0.946786948098475	0.940492604534141	0.943639776316308	0.09944013506174088	0.9607312083244324	0.7290488481521606	756881.0	1129863.0	29187902.0	94100.0	0.8894217379706479	0.9627326420664584	0.9260771900185532
19	0.07430752366781235	0.9415903091430664	0.7112871408462524	9784187.0	23762674.0	381936256.0	536608.0	0.9480071060417342	0.9414278119984196	0.9447174590200769	0.09573201835155487	0.957115113735199	0.7290977835655212	766285.0	1251976.0	29065788.0	84696.0	0.9004725134873751	0.9587048701876563	0.9295886918375157
20	0.07373659312725067	0.9419199228286743	0.7129884958267212	9789623.0	23631456.0	382067968.0	531172.0	0.9485338096532292	0.9417513198145433	0.9451425647338862	0.1052296832203865	0.965632975101471	0.7310059666633606	745826.0	966024.0	29351734.0	105155.0	0.8764308486323431	0.9681366940127961	0.9222837713225696
21	0.07338207215070724	0.9422590732574463	0.7144494652748108	9790660.0	23491448.0	382207648.0	530135.0	0.948634286409138	0.942096375782903	0.9453653310960205	0.0992874950170517	0.9643714427947998	0.7355483770370483	753555.0	1013072.0	29304684.0	97426.0	0.8855133075826604	0.9665848620194714	0.9260490848010658
22	0.07232601940631866	0.9432462453842163	0.71751868724823	9798934.0	23088828.0	382610464.0	521861.0	0.9494359688376719	0.943088813672369	0.9462623912550204	0.08781290054321289	0.9497601985931396	0.7324503064155579	782082.0	1497010.0	28820764.0	68899.0	0.9190357951587639	0.950622694133151	0.9348292446459574
23	0.07195935398340225	0.9432772397994995	0.7182987332344055	9805523.0	23082716.0	382616064.0	515272.0	0.950074388649324	0.9431038072138151	0.9465890979315696	0.09203999489545822	0.9556849598884583	0.7372021079063416	771500.0	1301758.0	29016004.0	79481.0	0.9066007349165257	0.9570628597189991	0.9318317973177623
24	0.0715734139084816	0.9437097907066345	0.7202851176261902	9806029.0	22903244.0	382795584.0	514766.0	0.9501234158802689	0.9435461913634121	0.9468348036218406	0.09538723528385162	0.959916353225708	0.7395642995834351	763847.0	1162233.0	29155534.0	87134.0	0.8976075846581768	0.9616649537546746	0.9296362692064257
25	0.07069595158100128	0.9444282054901123	0.7219833731651306	9813590.0	22612018.0	383087040.0	507205.0	0.9508560144833804	0.9442640608744031	0.9475600376788917	0.09365000575780869	0.9602597951889038	0.7408618330955505	765158.0	1152829.0	29164930.0	85823.0	0.8991481595946326	0.9619751248764792	0.9305616422355558
26	0.07040208578109741	0.9444997906684875	0.7225456833839417	9817181.0	22585522.0	383113664.0	503614.0	0.951203952796272	0.9443293879322696	0.9477666703642709	0.09617400914430618	0.9604994654655457	0.7367206811904907	762428.0	1142628.0	29175132.0	88553.0	0.8959400973699765	0.9623115955796206	0.9291258464747986
27	0.06953825056552887	0.9451459050178528	0.7244681119918823	9823493.0	22323472.0	383375616.0	497302.0	0.9518155335901934	0.944975296567588	0.9483954150788907	0.09978790581226349	0.9632248878479004	0.7413785457611084	755865.0	1051116.0	29266648.0	95116.0	0.8882278217727541	0.9653300289559613	0.9267789253643577
28	0.06916067004203796	0.9454045295715332	0.725924551486969	9829571.0	22221472.0	383477568.0	491224.0	0.9524044417120968	0.9452267079557299	0.9488155748339133	0.09876633435487747	0.9616256356239319	0.7380945682525635	759519.0	1104617.0	29213144.0	91462.0	0.8925216896734475	0.963565350356842	0.9280435200151447
29	0.06879589706659317	0.9457482695579529	0.7272886037826538	9830887.0	22079750.0	383619360.0	489908.0	0.9525319512692578	0.9455760452617212	0.9490539982654895	0.09525642544031143	0.9605732560157776	0.7383509278297424	764464.0	1142364.0	29175398.0	86517.0	0.8983326302232365	0.9623203058326008	0.9303264680279186
30	0.06851693242788315	0.9460811614990234	0.7277743816375732	9831772.0	21942736.0	383756448.0	489023.0	0.952617700477531	0.9459137783230049	0.9492657394002679	0.0962018370628357	0.9605132937431335	0.7339494228363037	763484.0	1143261.0	29174504.0	87497.0	0.8971810181425908	0.9622907229474205	0.9297358705450056
31	0.06801166385412216	0.9463320970535278	0.7293386459350586	9837996.0	21844148.0	383855392.0	482799.0	0.9532207547965055	0.9461568332071563	0.9496887940018308	0.09402669221162796	0.9600218534469604	0.7409147024154663	766480.0	1161566.0	29156192.0	84501.0	0.9007016607891363	0.9616869426822392	0.9311943017356877
